                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52318,                 3.3489,                 1.1298,                0.01481,                0.95365,                0.26749,                0.23124,                0.42596,                 7.2421,                0.65813,                0.00013,                0.00013,                0.00013
                      2,                0.49195,                 4.0382,                 1.0361,                0.01915,                0.96334,                0.27851,                0.24079,                0.42535,                 7.0592,                0.66427,             0.00013635,             0.00013635,             0.00013635
